0	183,826,923,458,60,1032,0,96,5,328,173,641,208,337,488,40,1063,378,1021,639,828,385,853,560,197,569,53,11,606,1055,27,1152,657,926,317,239,683,443,264,741,55,82,637,980,92,193,39,795,286,688 
1	249,438,538,351,265,115,420,1094,67,35,220,953,575,864,862,10,976,1084,840,442,277,280,1037,497,613,30,421,875,302,703,797,336,459,186,170,297,880,695,199,413,1177,6,332,293,549,28,7,384,716,479 
2	862,308,438,336,897,231,767,382,157,413,589,140,459,395,230,4,712,279,976,271,681,1094,198,421,249,181,297,549,384,594,329,695,632,79,538,665,282,797,6,477,293,225,45,170,11,558,320,613,716,481 
3	1094,442,459,421,531,438,165,271,880,336,695,279,170,420,862,538,875,413,181,497,703,249,535,265,253,242,10,280,575,1037,45,479,329,613,884,1084,225,245,254,864,277,6,230,199,856,308,140,282,1028,73 
4	421,242,442,438,420,459,1094,479,413,575,73,522,6,279,115,7,45,538,181,308,10,249,864,613,170,199,862,594,198,396,280,712,695,265,35,220,336,384,351,681,1028,497,253,271,880,976,98,703,254,797 
5	337,1141,828,902,92,560,286,826,923,606,418,385,496,1142,173,626,786,1151,506,5,39,458,1041,734,569,1057,629,1055,193,731,587,96,841,31,153,942,82,1011,800,1032,262,598,885,516,640,183,239,608,60,55 
6	98,254,73,712,864,170,507,253,384,420,880,225,336,1108,297,1084,1028,181,413,442,594,862,320,538,351,976,277,840,6,293,934,855,716,558,797,575,897,271,1014,438,316,665,79,497,396,329,242,421,255,425 
7	1094,282,137,270,795,140,157,197,1009,199,231,280,230,637,11,438,657,459,265,10,80,538,416,639,279,575,449,395,220,155,382,816,695,159,572,35,258,464,308,421,181,0,1063,191,40,21,328,6,650,613 
8	299,232,283,543,964,324,1052,912,269,440,235,648,416,740,219,127,641,359,512,1092,449,778,742,220,970,572,1094,56,34,878,208,893,765,270,438,67,400,791,224,458,188,788,1108,464,11,1035,279,159,792,249 
9	878,896,880,1155,359,488,1084,10,648,1108,420,575,115,297,538,976,384,703,430,181,504,695,855,1094,199,438,272,186,604,1028,79,497,613,72,1014,6,442,958,282,73,848,225,170,421,84,875,351,336,415,1177 
10	1094,438,442,497,880,421,170,1037,73,10,864,249,695,613,220,459,336,589,1028,1084,332,862,594,198,538,253,7,413,359,795,115,1108,263,329,681,351,242,703,479,531,280,265,628,199,797,884,822,575,6,297 
11	231,382,258,464,767,157,282,1009,395,11,662,197,155,637,159,639,270,140,221,680,230,459,80,268,795,279,335,878,87,438,860,40,108,695,277,538,1094,41,201,816,252,657,449,1063,336,974,45,836,862,421 
12	384,271,862,336,73,170,976,712,4,249,308,413,613,329,438,1084,897,253,293,442,421,797,396,594,225,459,1094,45,198,1028,181,703,425,273,297,681,479,549,420,199,497,481,538,716,589,884,265,79,98,477 
13	1141,828,606,506,902,337,1057,734,286,885,923,1143,418,849,385,640,1139,39,1011,1086,264,1142,193,31,786,153,92,1076,251,826,608,776,839,626,560,5,898,239,942,615,629,333,1068,846,64,1012,926,422,27,1055 
14	1119,182,222,864,1084,442,497,875,880,114,1108,351,10,253,1035,316,249,98,538,1177,28,170,236,648,242,225,703,115,220,451,1179,298,73,297,420,1094,277,861,884,575,840,145,479,355,878,894,549,254,628,976 
15	1076,868,846,31,39,64,385,1143,1106,193,828,326,264,615,1012,640,322,801,581,849,985,327,58,333,239,606,337,5,218,286,1142,621,839,27,786,153,1068,1011,54,560,902,854,537,713,885,173,853,923,775,92 
16	382,258,767,231,464,282,395,662,11,157,680,711,268,230,1009,878,159,279,538,438,459,643,87,140,221,1126,1094,639,695,336,197,836,1063,41,155,270,657,558,252,320,637,10,531,199,220,862,1084,575,335,955 
17	516,944,598,133,55,250,367,731,41,683,96,787,189,382,258,60,335,401,82,86,464,690,159,688,767,733,496,726,282,11,878,1094,392,172,268,488,1063,157,231,226,795,176,695,1034,980,10,531,459,741,974 
18	464,382,258,767,231,157,395,282,662,680,268,1009,159,230,1094,155,878,836,538,80,277,11,221,459,336,279,292,572,140,252,643,87,695,575,974,558,270,48,416,657,289,860,10,438,65,197,19,220,970,108 
19	740,1108,1094,1035,416,648,351,958,864,964,336,497,438,115,6,747,712,1084,220,359,249,512,695,384,332,792,880,459,970,840,245,1052,765,282,1126,219,875,280,538,277,160,862,28,232,785,1177,575,878,34,1037 
20	976,273,198,862,848,589,115,477,336,797,249,430,293,438,413,4,613,911,79,73,1084,538,297,549,84,938,170,421,725,271,329,384,955,481,1028,665,803,308,124,181,855,272,1094,274,712,1159,884,822,1102,225 
21	336,1094,384,976,862,438,459,230,413,712,249,955,351,538,497,231,589,198,282,822,681,4,271,1126,220,157,797,297,420,170,308,372,1084,293,382,329,716,695,10,279,140,594,79,425,421,575,265,320,767,175 
22	382,231,258,767,157,464,395,282,695,1009,11,662,279,438,230,680,459,159,538,140,558,268,10,270,1094,277,197,336,795,155,575,589,220,880,181,862,221,639,252,80,19,860,7,637,416,87,421,420,249,297 
23	413,1028,170,365,254,181,198,420,480,115,976,864,442,73,360,84,538,421,438,712,297,613,665,797,840,862,855,575,272,880,589,253,332,771,124,10,98,430,263,507,384,205,271,336,934,594,293,79,225,803 
24	1188,384,976,170,681,911,1028,198,712,420,539,413,4,396,175,594,1084,124,336,430,477,862,271,360,481,297,504,803,110,1159,425,589,73,772,79,994,151,293,320,274,848,273,249,507,421,365,972,38,351,84 
