0	31,378,7,183,1021,96,451,342,639,231,286,367,980,55,443,741,282,157,193,60,337,80,488,280,39,727,688,978,41,427,197,606,828,159,731,221,11,155,279,591,27,204,1055,140,8,974,369,94,608,657 
1	303,38,245,314,30,293,953,122,67,7,336,531,894,45,660,797,249,329,613,355,242,549,442,168,580,35,997,202,163,862,391,925,279,253,138,160,265,280,145,438,137,216,563,14,479,807,4,277,340,921 
2	231,7,45,137,280,157,38,21,30,233,650,140,230,369,221,279,202,19,336,303,97,67,270,580,997,220,890,314,527,431,687,201,94,282,578,613,862,186,245,265,535,549,821,277,293,138,246,216,1003,497 
3	38,314,303,45,7,336,293,280,140,279,862,4,30,67,580,613,231,245,277,202,351,168,145,137,369,890,442,160,216,972,997,249,797,953,650,14,122,220,424,253,438,565,497,660,22,531,21,107,89,35 
4	7,314,38,797,293,303,355,72,4,531,481,234,242,150,442,124,151,175,141,279,6,216,45,100,78,249,864,280,336,128,613,89,181,479,160,245,140,204,162,163,659,217,316,294,855,953,122,253,894,266 
5	286,31,337,759,820,418,193,195,731,55,250,753,635,525,426,992,828,39,591,403,608,513,606,870,943,86,626,1116,882,176,104,629,612,172,1093,690,1151,399,980,343,183,5,313,99,164,262,733,956,1034,849 
6	314,279,78,336,45,613,293,797,316,38,89,303,351,249,280,140,308,253,285,766,369,137,98,469,9,230,224,168,35,638,531,199,686,277,748,659,894,438,52,455,650,452,231,310,852,565,191,155,14,79 
7	231,157,7,221,280,230,137,369,282,279,270,94,155,201,140,19,97,431,650,45,21,87,186,627,191,276,165,108,31,554,220,578,634,520,224,603,314,527,382,183,48,423,336,233,421,14,1043,96,237,371 
8	451,543,41,378,101,970,341,765,893,742,342,648,1035,740,8,231,367,1021,299,427,96,561,127,958,440,1052,34,978,964,7,247,708,791,567,36,595,528,157,183,359,639,283,282,280,244,946,465,269,912,159 
9	78,314,72,481,7,124,797,131,181,451,16,766,89,802,204,106,293,224,320,316,280,799,4,789,469,798,38,150,112,140,234,100,777,198,355,279,128,659,681,175,9,285,334,950,351,531,315,825,438,129 
10	124,481,7,181,797,72,314,451,4,539,131,950,273,355,141,294,198,38,234,151,349,589,665,129,320,128,78,263,531,100,150,442,405,864,927,360,798,1006,881,293,6,1121,175,762,303,378,300,242,342,162 
11	231,157,221,155,230,282,369,423,87,94,627,280,382,7,279,270,431,137,634,201,140,224,767,674,464,191,186,268,97,75,276,65,554,149,395,614,520,650,258,19,603,108,929,475,618,204,662,451,148,165 
12	314,38,293,7,797,303,4,336,45,355,279,160,89,140,280,351,613,168,234,531,442,151,249,253,145,245,277,100,216,862,316,438,72,452,480,659,481,580,972,479,150,894,175,128,35,14,22,953,81,122 
13	286,418,337,193,39,828,264,31,626,635,606,608,581,846,629,759,956,5,814,322,849,820,1093,171,498,15,195,109,1011,914,327,621,399,1103,426,450,882,1116,1168,869,402,422,870,642,1169,177,1057,490,58,734 
14	7,314,38,45,279,303,293,280,336,797,613,245,140,531,137,14,216,249,231,438,369,580,168,442,355,351,122,199,253,855,862,145,497,89,894,371,277,30,175,217,424,155,972,230,78,650,265,953,150,4 
15	286,31,264,193,337,39,606,418,828,846,956,608,5,581,635,626,759,218,629,327,322,27,849,58,171,1057,15,621,734,814,642,1116,1011,126,820,377,914,402,668,109,751,615,153,177,498,898,663,195,399,1178 
16	231,157,382,369,221,230,279,155,252,280,87,268,140,767,201,627,282,224,94,270,7,431,137,65,806,258,191,554,108,662,292,618,634,19,165,650,395,351,75,240,880,674,78,97,276,52,929,578,314,237 
17	802,766,16,59,106,20,77,78,799,694,204,55,259,367,731,86,451,675,789,52,189,72,224,612,334,250,131,155,7,1151,598,142,405,403,787,591,513,392,992,47,57,282,753,209,172,516,455,636,777,1034 
18	231,157,221,230,369,382,87,270,282,431,155,423,94,280,279,137,634,201,627,767,554,19,7,75,268,140,464,65,618,650,276,252,108,395,603,224,97,191,186,929,520,165,258,149,674,578,662,21,906,475 
19	766,802,799,155,106,16,78,259,231,627,20,224,282,59,47,230,279,674,204,369,280,7,77,730,52,695,675,789,268,694,140,689,157,371,201,191,451,636,87,382,98,137,314,9,334,573,32,765,1031,788 
20	481,314,7,124,4,797,181,38,89,451,234,539,263,349,950,151,273,480,72,100,798,589,665,170,293,360,160,198,355,117,681,512,843,447,84,255,280,129,452,45,911,154,128,78,131,303,531,216,351,442 
21	45,231,38,336,4,314,303,140,369,351,650,277,862,157,280,170,233,890,202,293,22,168,160,255,972,431,279,221,461,89,145,580,578,565,220,492,7,747,883,230,613,736,575,137,21,84,237,442,527,480 
22	231,157,221,230,369,282,155,280,270,94,279,7,87,431,137,201,382,627,423,140,634,19,554,767,650,97,186,276,191,224,108,268,75,520,464,603,618,165,395,21,65,929,674,45,578,252,149,1043,358,237 
23	4,124,481,38,314,151,181,797,160,843,480,355,360,803,539,349,170,950,234,665,303,293,273,7,89,1028,100,81,798,263,203,242,22,72,589,84,442,365,447,93,432,911,494,1000,154,452,681,762,120,659 
24	314,124,4,481,797,181,38,355,72,151,293,7,234,360,160,89,950,665,480,798,539,320,349,273,843,100,303,659,316,150,442,131,803,175,681,78,531,170,154,589,141,242,128,452,263,762,129,494,81,911 
25	122,953,245,7,38,30,242,67,314,303,666,138,580,925,997,549,336,45,660,862,980,272,340,265,329,419,391,217,442,137,229,982,630,163,531,613,120,894,107,249,355,463,66,576,921,797,864,563,202,35 
26	451,231,378,41,543,7,157,221,101,1021,648,280,342,970,155,282,369,765,299,94,96,740,341,893,1035,742,627,31,639,34,431,964,230,1052,958,87,183,127,279,423,367,283,878,56,140,912,159,204,382,792 
27	7,314,38,797,864,355,6,531,242,303,442,150,141,122,72,294,293,175,1121,666,4,953,234,980,217,163,481,281,1179,245,162,124,925,151,249,128,181,253,894,336,659,479,625,45,807,613,229,100,204,216 
28	231,45,7,38,431,221,157,140,369,280,4,303,336,314,890,233,94,862,650,277,527,97,230,279,351,202,461,270,580,22,220,145,255,21,137,170,578,293,687,237,186,168,151,356,883,480,997,900,736,89 
29	7,451,314,481,4,38,378,124,342,234,589,280,539,96,797,151,45,31,263,231,1021,100,349,140,89,197,639,336,862,216,303,181,480,183,293,497,950,84,266,198,255,279,160,41,117,128,512,665,204,273 
30	231,31,221,157,94,7,1021,286,431,282,378,639,96,230,264,280,183,270,155,97,369,137,193,423,634,27,520,828,39,846,606,87,342,443,140,956,337,201,186,627,218,451,276,80,149,197,650,741,279,1066 
31	155,78,231,16,766,799,224,802,7,280,106,369,230,627,279,140,204,314,282,157,451,259,268,789,52,20,47,695,674,371,191,201,730,59,87,77,636,382,221,9,675,351,98,137,469,72,689,45,112,334 
32	7,314,38,797,293,303,4,355,531,234,72,279,45,280,216,481,242,151,100,336,442,150,89,613,175,249,140,78,124,245,160,141,128,479,855,204,6,351,217,145,438,953,266,659,163,316,371,162,168,122 
